species_id,Domain,Phylum,Class,Order,Family,Genus,Species
OTU-12929,d__Bacteria,p__Firmicutes,c__Clostridia,o__Oscillospirales,f__DTU089,g__Ruminococcus_E,
OTU-02296,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Microbacteriaceae,g__Yonghaparkia,
OTU-23150,d__Bacteria,p__Spirochaetes,c__Spirochaetia,o__Spirochaetales,f__Spirochaetaceae_B,,
OTU-00209,d__Archaea,p__Crenarchaeota,c__Thermoprotei,o__Desulfurococcales,f__Desulfurococcaceae,g__Desulfurococcus,
OTU-03539,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,
OTU-05994,d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Cytophagales,f__Cyclobacteriaceae,g__Chryseolinea,
OTU-03824,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__Streptomyces kanasensis
OTU-01383,d__Bacteria,p__Acidobacteria,c__DSM-100886,o__DSM-100886,,,
OTU-19130,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Burkholderiaceae,g__Janthinobacterium,
OTU-15581,d__Bacteria,p__Patescibacteria,c__Paceibacteria,o__UBA9983,f__Nomurabacteraceae,g__UBA9973,s__
OTU-06870,d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Polaribacter,s__
OTU-18702,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,,,,
OTU-02001,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Dermatophilaceae,g__Serinicoccus,s__Serinicoccus marinus
OTU-15941,d__Bacteria,p__Planctomycetes,c__Planctomycetia,o__Pirellulales,,,
OTU-17248,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__Neorhizobium,s__
OTU-15723,d__Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__Saccharimonadaceae,,
OTU-00922,d__Archaea,p__Nanoarchaeota,c__Woesearchaeia,o__SM23-78,f__SM23-78,g__SM23-78,
OTU-22482,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Saccharospirillaceae,g__Oleispira,
OTU-11515,d__Bacteria,p__Firmicutes,c__Clostridia,o__CAG-41,,,
OTU-15374,d__Bacteria,p__Patescibacteria,c__Paceibacteria,o__Paceibacterales,f__Wildermuthbacteraceae,g__2-01-FULL-48-16,s__2-01-FULL-48-16 sp1
OTU-09666,d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Planococcaceae,,
OTU-01954,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Dermatophilaceae,g__Demetria,s__Demetria terragena
OTU-16742,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Puniceispirillales,f__Puniceispirillaceae,g__UBA8309,
OTU-23764,d__Bacteria,p__WOR-3,c__WOR-3,,,,
OTU-19973,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Chromatiales,f__Chromatiaceae,g__Thiorhodovibrio,s__
OTU-15930,d__Bacteria,p__Planctomycetes,c__Planctomycetia,o__Gemmatales,f__Gemmataceae,g__Gemmata,s__Gemmata massiliana
OTU-11180,d__Bacteria,p__Firmicutes,c__Bacilli_A,o__Paenibacillales,f__Paenibacillaceae,g__Paenibacillus,s__Paenibacillus typhae
OTU-19778,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Nitrosomonadaceae,g__Nitrosomonas,
OTU-23061,d__Bacteria,p__Spirochaetes,c__Brachyspirae,o__Brachyspirales,f__Brachyspiraceae,g__Brachyspira,s__Brachyspira pilosicoli
OTU-13946,d__Bacteria,p__Firmicutes,c__Halanaerobiia,o__Halanaerobiales,f__Halothermotrichaceae_A,g__Halothermothrix_A,s__Halothermothrix_A orenii
OTU-10276,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus_O,s__Lactobacillus_O oeni
OTU-05101,d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Coprobacteraceae,g__Coprobacter,
OTU-16812,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,g__28-YEA-48,s__
OTU-03256,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Pseudonocardiaceae,g__Amycolatopsis,s__Amycolatopsis tolypomycina
OTU-02969,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Corynebacteriaceae,g__Rhodococcus,s__
OTU-05051,d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Prevotella,s__Prevotella paludivivens
OTU-09262,d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Amphibacillaceae,g__Oceanobacillus,s__Oceanobacillus massiliensis
OTU-19588,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Chitinimonadaceae,g__Chitinimonas,s__Chitinimonas taiwanensis
OTU-13095,d__Bacteria,p__Firmicutes,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__CAG-83,
OTU-07640,d__Bacteria,p__Chloroflexi,c__Anaerolineae,o__Anaerolineales,f__Anaerolineaceae,g__UBA6170,
OTU-08752,d__Bacteria,p__Desulfuromonadaeota,c__Desulfuromonadia,o__Desulfuromonadales,f__Geopsychrobacteraceae,g__Desulfuromusa,
OTU-01971,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Dermatophilaceae,g__Knoellia,
OTU-03356,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Frankiales,f__Frankiaceae,g__Frankia,s__
OTU-07419,d__Bacteria,p__Bacteroidetes,c__Rhodothermia,o__Balneolales,f__Balneolaceae,g__Aliifodinibius,s__Aliifodinibius roseus
OTU-08612,d__Bacteria,p__Desulfobacteraeota,c__Syntrophorhabdia,o__Syntrophorhabdales,f__Syntrophorhabdaceae,,
OTU-01025,d__Archaea,p__Thermoplasmataeota,c__Epipelagoarchaeia,o__MGII,f__MGIIA,,
OTU-22726,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__UBA5158,f__UBA5158,g__2-12-FULL-37-34,s__
OTU-21650,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Halomonadaceae,g__Oceanospirillum,
OTU-16449,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Maricaulaceae,,
OTU-06274,d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Flavobacteriales,f__Crocinitomicaceae,,
OTU-03746,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__Streptomyces anulatus_A
OTU-19648,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Hydrogenophilaceae,g__Thiobacillus,
OTU-04994,d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Prevotella,s__
OTU-19476,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Burkholderiaceae,g__SCN-68-22,
OTU-19834,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Rhodocyclaceae,,
OTU-21514,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Hahellaceae,g__Marinobacter,s__Marinobacter sp3
OTU-09537,d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae_G,g__Bacillus_A,s__Bacillus_A cereus_K
OTU-16088,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,,,,
OTU-07940,d__Bacteria,p__Cyanobacteria,c__Melainabacteria,o__Gastranaerophilales,f__Gastranaerophilaceae,g__CAG-484,s__
