#SampleID	Exp1A1_prefix.assembled_metaphlan_bugs_list	Exp1A2_prefix.assembled_metaphlan_bugs_list	Exp1AS1_prefix.assembled_metaphlan_bugs_list	Exp1AS2_prefix.assembled_metaphlan_bugs_list	Exp1C1_prefix.assembled_metaphlan_bugs_list	Exp1C2_prefix.assembled_metaphlan_bugs_list	Exp1S1_prefix.assembled_metaphlan_bugs_list	Exp1S2_prefix.assembled_metaphlan_bugs_list	Exp2A1_prefix.assembled_metaphlan_bugs_list	Exp2A2_prefix.assembled_metaphlan_bugs_list	Exp2AS1_prefix.assembled_metaphlan_bugs_list	Exp2AS2_prefix.assembled_metaphlan_bugs_list	Exp2C1New.assembled_metaphlan_bugs_list	Exp2C2_prefix.assembled_metaphlan_bugs_list	Exp2S1_prefix.assembled_metaphlan_bugs_list	Exp2S2_prefix.assembled_metaphlan_bugs_list	Exp3A1_prefix.assembled_metaphlan_bugs_list	Exp3A2_prefix.assembled_metaphlan_bugs_list	Exp3AS1_prefix.assembled_metaphlan_bugs_list	Exp3AS2_prefix.assembled_metaphlan_bugs_list	Exp3C1_prefix.assembled_metaphlan_bugs_list	Exp3C2_prefix.assembled_metaphlan_bugs_list	Exp3S1_prefix.assembled_metaphlan_bugs_list	Exp3S2_prefix.assembled_metaphlan_bugs_list
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum|t__Bifidobacterium_longum_unclassified	3.47261	3.46581	2.4182	2.01334	2.81052	2.99129	2.28715	2.33826	0.03485	0.03885	0.53288	0.62504	0.04456	0.02844	0.79449	0.72551	5.22545	6.28576	3.07981	3.60756	6.36345	5.19371	3.99616	4.13486
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudocatenulatum	0	0	0	0	0	0	0	0	0.03577	0.06629	0.0775	0.08639	0.03349	0.04262	0.08607	0.05827	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudocatenulatum|t__GCF_000173435	0	0	0	0	0	0	0	0	0.03577	0.06629	0.0775	0.08639	0.03349	0.04262	0.08607	0.05827	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Gardnerella	0	0	0	0	0	0	0	0	0	0.00215	0.00063	0	0.01668	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Gardnerella|s__Gardnerella_vaginalis	0	0	0	0	0	0	0	0	0	0.00215	0.00063	0	0.01668	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Gardnerella|s__Gardnerella_vaginalis|t__Gardnerella_vaginalis_unclassified	0	0	0	0	0	0	0	0	0	0.00215	0.00063	0	0.01668	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.02795	0.02821	0.0193	0.01983	0.02655	0.02684	0.01951	0.00393	0.05534	0.10818	0.01867	0.02904	0.05343	0.06785	0.02666	0.02724	0.00394	0.0042	0	0	0.01006	0.00455	0.00296	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	0.02795	0.02821	0.0193	0.01983	0.02655	0.02684	0.01951	0.00393	0.05534	0.10818	0.01867	0.02904	0.05343	0.06785	0.02666	0.02724	0.00394	0.0042	0	0	0.01006	0.00455	0.00296	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella	0.02795	0.02821	0.0193	0.01983	0.02655	0.02684	0.01951	0.00393	0.05534	0.10818	0.01867	0.02904	0.05343	0.06785	0.02666	0.02724	0.00394	0.0042	0	0	0.01006	0.00455	0.00296	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_aerofaciens	0.02795	0.02821	0.0193	0.01983	0.02655	0.02684	0.01951	0.00393	0.05534	0.10818	0.01867	0.02904	0.05343	0.06785	0.02666	0.02724	0.00394	0.0042	0	0	0.01006	0.00455	0.00296	0
